,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
0,-141,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,40.0,Few (~1 to 50 deaths),,,,no,no,,15.004,37.734
1,1262,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,-19.05,63.63
2,1300,7,11,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,600.0,Many (~101 to 1000 deaths),,,,no,no,4,-19.7,63.98
3,1331,12,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
4,1714,6,30,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,yes,no,,14.426,40.821
5,1907,10,6,Savai'i,Samoa-SW Pacific,Samoa,1858,Shield volcano,Historical,,,,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,,-172.525,-13.612
6,1911,8,15,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,138.53,36.4
7,1913,1,20,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,13.0,Few (~1 to 50 deaths),,,,no,no,4,-103.62,19.514
8,1944,6,10,Cleveland,Aleutian Is,United States,1730,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-169.95,52.82
9,1952,9,16,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,,,,,,yes,no,2,139.85,32.1
10,1960,5,25,Puyehue,Chile-C,Chile,2236,Stratovolcano,Holocene,,,,,,yes,yes,3,-72.117,-40.59
11,1971,10,26,La Palma,Canary Is,Spain,2426,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.83,28.58
12,1972,10,9,Ritter Island,New Guinea-NE of,Papua New Guinea,140,Stratovolcano,Historical,,,,,,yes,no,1,148.121,-5.52
13,1979,4,13,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,-61.18,13.33
14,1983,10,3,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),,no,yes,3,139.53,34.08
15,1984,10,16,Etna,Italy,Italy,3350,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,15.004,37.734
16,1990,10,19,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
17,1991,12,14,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,2,15.004,37.734
18,1994,2,3,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
19,2007,7,7,Salak,Java,Indonesia,2211,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,,106.73,-6.72
20,2017,6,6,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,2,-90.88,14.473
21,2017,9,23,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,167.83,-15.4
22,2018,3,30,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,4.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,no,3,167.83,-15.4
23,2019,8,28,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,,,,yes,no,2,15.213,38.789
24,1593,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,5,114.042,-8.125
25,1609,,,Tengchong,China-S,China,2865,Pyroclastic cone,Historical,,Few (~1 to 50 deaths),,,,no,no,,98.47,25.32
26,1692,6,4,Serua,Banda Sea,Pacific Ocean,641,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,4,130.0,-6.3
27,1718,2,1,Pico,Azores,Portugal,2351,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,-28.4,38.47
28,1846,5,7,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,63.0,Some (~51 to 100 deaths),,,,no,no,,176.0,-38.82
29,1866,2,20,Santorini,Greece,Greece,329,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,25.396,36.404
30,1877,2,14,Mauna Loa,Hawaiian Is,United States,4170,Shield volcano,Historical,,,,,,yes,yes,0,-155.608,19.475
31,1883,12,,Bagana,Bougainville-SW Paci,Papua New Guinea,1750,Lava cone,Historical,,Some (~51 to 100 deaths),,,,no,no,3,155.195,-6.14
32,1886,8,31,Niuafo'ou,Tonga-SW Pacific,Tonga,260,Shield volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,-175.63,-15.6
33,1896,3,15,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,130.87,31.93
34,1902,5,8,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,28000.0,Very Many (~1001 or more deaths),,,,yes,no,4,-61.17,14.82
35,1914,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,100.0,Some (~51 to 100 deaths),,,,no,no,,167.83,-15.4
36,1923,3,11,Papandayan,Java,Indonesia,2665,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,107.73,-7.32
37,1928,1,23,Santorini,Greece,Greece,329,Shield volcano,Historical,48.0,Few (~1 to 50 deaths),,,,no,no,2,25.396,36.404
38,1947,9,16,Akagi,Honshu-Japan,Japan,1828,Stratovolcano,Historical,699.0,Many (~101 to 1000 deaths),,,,no,no,,139.18,36.53
